% Model,Untitled.mph
% Version,COMSOL 5.6.0.401
% Date,"Jan 28 2022, 23:51"
% Table,Table 2 - Surface Integration 1
% shift (m),I_0 (A),d_cover (m),r_0 (m),-mf.Jphi*mf.Br (N)
0.005205263157894736,0.25,6.000000000000001E-4,3.0000000000000003E-4,0.3061940197170647
0.005205263157894736,0.25,6.000000000000001E-4,4.0E-4,0.09688170155109371
0.005205263157894736,0.25,6.000000000000001E-4,5.0E-4,0.03968274495532857
0.005205263157894736,0.25,7.0E-4,1.0E-4,23.557099282180413
0.005205263157894736,0.25,7.0E-4,2.0E-4,1.4723187051361424
0.005205263157894736,0.25,7.0E-4,3.0000000000000003E-4,0.2908283861997318
0.005205263157894736,0.25,7.0E-4,4.0E-4,0.09201991907101106
0.005205263157894736,0.25,7.0E-4,5.0E-4,0.03769135885148617
0.005205263157894736,0.25,8.0E-4,1.0E-4,22.313103526675864
0.005205263157894736,0.25,8.0E-4,2.0E-4,1.39456897041724
0.005205263157894736,0.25,8.0E-4,3.0000000000000003E-4,0.2754704139095764
0.005205263157894736,0.25,8.0E-4,4.0E-4,0.08716056065107679
0.005205263157894736,0.25,8.0E-4,5.0E-4,0.035700965642681354
0.005205263157894736,0.25,9.0E-4,1.0E-4,21.100444486780695
0.005205263157894736,0.25,9.0E-4,2.0E-4,1.3187777804237883
0.005205263157894736,0.25,9.0E-4,3.0000000000000003E-4,0.2604993146516151
0.005205263157894736,0.25,9.0E-4,4.0E-4,0.08242361127649434
0.005205263157894736,0.25,9.0E-4,5.0E-4,0.033760711178848886
0.005205263157894736,0.25,0.001,1.0E-4,19.912398349818233
0.005205263157894736,0.25,0.001,2.0E-4,1.2445248968636413
0.005205263157894736,0.25,0.001,3.0000000000000003E-4,0.24583207839281815
0.005205263157894736,0.25,0.001,4.0E-4,0.07778280605397747
0.005205263157894736,0.25,0.001,5.0E-4,0.03185983735970916
0.005205263157894736,0.25,0.0011,1.0E-4,18.726456062529284
0.005205263157894736,0.25,0.0011,2.0E-4,1.170403503908045
0.005205263157894736,0.25,0.0011,3.0000000000000003E-4,0.23119081558677385
0.005205263157894736,0.25,0.0011,4.0E-4,0.07315021899425501
0.005205263157894736,0.25,0.0011,5.0E-4,0.029962329700046763
0.005205263157894736,0.25,0.0012000000000000001,1.0E-4,17.58702447419775
0.005205263157894736,0.25,0.0012000000000000001,2.0E-4,1.0991890296373594
0.005205263157894736,0.25,0.0012000000000000001,3.0000000000000003E-4,0.21712375894074734
0.005205263157894736,0.25,0.0012000000000000001,4.0E-4,0.06869931435233535
0.005205263157894736,0.25,0.0012000000000000001,5.0E-4,0.028139239158716762
0.005205263157894736,0.25,0.0013,1.0E-4,16.50800934810067
0.005205263157894736,0.25,0.0013,2.0E-4,1.0317505842563552
0.005205263157894736,0.25,0.0013,3.0000000000000003E-4,0.2038025845444649
0.005205263157894736,0.25,0.0013,4.0E-4,0.06448441151602144
0.005205263157894736,0.25,0.0013,5.0E-4,0.02641281495696113
0.005205263157894736,0.25,0.0014000000000000002,1.0E-4,15.453165990496103
0.005205263157894736,0.25,0.0014000000000000002,2.0E-4,0.9658228744059791
0.005205263157894736,0.25,0.0014000000000000002,3.0000000000000003E-4,0.19077982704316163
0.005205263157894736,0.25,0.0014000000000000002,4.0E-4,0.060363929650374674
0.005205263157894736,0.25,0.0014000000000000002,5.0E-4,0.02472506558479314
0.005205263157894736,0.25,0.0015,1.0E-4,14.443139689155114
0.005205263157894736,0.25,0.0015,2.0E-4,0.9026962305721945
0.005205263157894736,0.25,0.0015,3.0000000000000003E-4,0.17831036653278584
0.005205263157894736,0.25,0.0015,4.0E-4,0.056418514410756626
0.005205263157894736,0.25,0.0015,5.0E-4,0.023109023502648218
0.005205263157894736,0.5,5.0E-4,1.0E-4,104.31946600484477
0.005205263157894736,0.5,5.0E-4,2.0E-4,6.519966625301919
0.005205263157894736,0.5,5.0E-4,3.0000000000000003E-4,1.2878946420349353
0.005205263157894736,0.5,5.0E-4,4.0E-4,0.40749791408140845
0.005205263157894736,0.5,5.0E-4,5.0E-4,0.16691114560774176
0.005205263157894736,0.5,6.000000000000001E-4,1.0E-4,99.20686238832518
0.005205263157894736,0.5,6.000000000000001E-4,2.0E-4,6.200428899270554
0.005205263157894736,0.5,6.000000000000001E-4,3.0000000000000003E-4,1.2247760788682631
0.005205263157894736,0.5,6.000000000000001E-4,4.0E-4,0.3875268062043842
0.005205263157894736,0.5,6.000000000000001E-4,5.0E-4,0.15873097982131687
0.005205263157894736,0.5,7.0E-4,1.0E-4,94.22839712871338
0.005205263157894736,0.5,7.0E-4,2.0E-4,5.889274820544587
0.005205263157894736,0.5,7.0E-4,3.0000000000000003E-4,1.1633135447989609
0.005205263157894736,0.5,7.0E-4,4.0E-4,0.36807967628404564
0.005205263157894736,0.5,7.0E-4,5.0E-4,0.15076543540594148
0.005205263157894736,0.5,8.0E-4,1.0E-4,89.25241410670345
0.005205263157894736,0.5,8.0E-4,2.0E-4,5.578275881668806
0.005205263157894736,0.5,8.0E-4,3.0000000000000003E-4,1.1018816556383177
0.005205263157894736,0.5,8.0E-4,4.0E-4,0.34864224260430715
0.005205263157894736,0.5,8.0E-4,5.0E-4,0.14280386257072142
0.005205263157894736,0.5,9.0E-4,1.0E-4,84.40177794712403
0.005205263157894736,0.5,9.0E-4,2.0E-4,5.2751111216952
0.005205263157894736,0.5,9.0E-4,3.0000000000000003E-4,1.0419972586064397
0.005205263157894736,0.5,9.0E-4,4.0E-4,0.32969444510594625
0.005205263157894736,0.5,9.0E-4,5.0E-4,0.1350428447153956
0.005205263157894736,0.5,0.001,1.0E-4,79.64959339927293
0.005205263157894736,0.5,0.001,2.0E-4,4.978099587454502
0.005205263157894736,0.5,0.001,3.0000000000000003E-4,0.9833283135712608
0.005205263157894736,0.5,0.001,4.0E-4,0.31113122421591194
0.005205263157894736,0.5,0.001,5.0E-4,0.12743934943883753
0.005205263157894736,0.5,0.0011,1.0E-4,74.90582425011713
0.005205263157894736,0.5,0.0011,2.0E-4,4.681614015632199
0.005205263157894736,0.5,0.0011,3.0000000000000003E-4,0.9247632623471004
0.005205263157894736,0.5,0.0011,4.0E-4,0.29260087597701123
0.005205263157894736,0.5,0.0011,5.0E-4,0.11984931880018361
0.005205263157894736,0.5,0.0012000000000000001,1.0E-4,70.34809789680038
0.005205263157894736,0.5,0.0012000000000000001,2.0E-4,4.396756118550024
0.005205263157894736,0.5,0.0012000000000000001,3.0000000000000003E-4,0.8684950357628799
0.005205263157894736,0.5,0.0012000000000000001,4.0E-4,0.2747972574093414
0.005205263157894736,0.5,0.0012000000000000001,5.0E-4,0.11255695663486902
0.005205263157894736,0.5,0.0013,1.0E-4,66.03203739240269
0.005205263157894736,0.5,0.0013,2.0E-4,4.127002337025372
0.005205263157894736,0.5,0.0013,3.0000000000000003E-4,0.8152103381778596
0.005205263157894736,0.5,0.0013,4.0E-4,0.2579376460640888
0.005205263157894736,0.5,0.0013,5.0E-4,0.105651259827846
0.005205263157894736,0.5,0.0014000000000000002,1.0E-4,61.81266396198274
0.005205263157894736,0.5,0.0014000000000000002,2.0E-4,3.8632914976239165
0.005205263157894736,0.5,0.0014000000000000002,3.0000000000000003E-4,0.763119308172626
0.005205263157894736,0.5,0.0014000000000000002,4.0E-4,0.2414557186014951
0.005205263157894736,0.5,0.0014000000000000002,5.0E-4,0.0989002623391739
0.005205263157894736,0.5,0.0015,1.0E-4,57.77255875661929
0.005205263157894736,0.5,0.0015,2.0E-4,3.6107849222889197
0.005205263157894736,0.5,0.0015,3.0000000000000003E-4,0.7132414661311309
0.005205263157894736,0.5,0.0015,4.0E-4,0.2256740576430536
0.005205263157894736,0.5,0.0015,5.0E-4,0.09243609401059481
0.005205263157894736,0.75,5.0E-4,1.0E-4,234.71879851088008
0.005205263157894736,0.75,5.0E-4,2.0E-4,14.6699249069303
0.005205263157894736,0.75,5.0E-4,3.0000000000000003E-4,2.8977629445786466
0.005205263157894736,0.75,5.0E-4,4.0E-4,0.9168703066830642
0.005205263157894736,0.75,5.0E-4,5.0E-4,0.3755500776174249
0.005205263157894736,0.75,6.000000000000001E-4,1.0E-4,223.21544037374107
0.005205263157894736,0.75,6.000000000000001E-4,2.0E-4,13.950965023358483
0.005205263157894736,0.75,6.000000000000001E-4,3.0000000000000003E-4,2.755746177453638
0.005205263157894736,0.75,6.000000000000001E-4,4.0E-4,0.8719353139599219
0.005205263157894736,0.75,6.000000000000001E-4,5.0E-4,0.3571447045979863
0.005205263157894736,0.75,7.0E-4,1.0E-4,212.01389353960977
0.005205263157894736,0.75,7.0E-4,2.0E-4,13.250868346225289
0.005205263157894736,0.75,7.0E-4,3.0000000000000003E-4,2.6174554757976596
0.005205263157894736,0.75,7.0E-4,4.0E-4,0.8281792716391564
0.005205263157894736,0.75,7.0E-4,5.0E-4,0.33922222966336774
0.005205263157894736,0.75,8.0E-4,1.0E-4,200.81793174007595
0.005205263157894736,0.75,8.0E-4,2.0E-4,12.551120733755194
0.005205263157894736,0.75,8.0E-4,3.0000000000000003E-4,2.479233725186207
0.005205263157894736,0.75,8.0E-4,4.0E-4,0.7844450458596727
0.005205263157894736,0.75,8.0E-4,5.0E-4,0.32130869078412183
0.005205263157894736,0.75,9.0E-4,1.0E-4,189.90400038102527
0.005205263157894736,0.75,9.0E-4,2.0E-4,11.86900002381422
0.005205263157894736,0.75,9.0E-4,3.0000000000000003E-4,2.3444938318645083
0.005205263157894736,0.75,9.0E-4,4.0E-4,0.7418125014883887
0.005205263157894736,0.75,9.0E-4,5.0E-4,0.3038464006096403
0.005205263157894736,0.75,0.001,1.0E-4,179.21158514836398
0.005205263157894736,0.75,0.001,2.0E-4,11.2007240717728
0.005205263157894736,0.75,0.001,3.0000000000000003E-4,2.2124887055353577
0.005205263157894736,0.75,0.001,4.0E-4,0.7000452544857972
0.005205263157894736,0.75,0.001,5.0E-4,0.2867385362373831
0.005205263157894736,0.75,0.0011,1.0E-4,168.53810456275465
0.005205263157894736,0.75,0.0011,2.0E-4,10.533631535172427
0.005205263157894736,0.75,0.0011,3.0000000000000003E-4,2.080717340280966
0.005205263157894736,0.75,0.0011,4.0E-4,0.6583519709482734
0.005205263157894736,0.75,0.0011,5.0E-4,0.26966096730042194
0.005205263157894736,0.75,0.0012000000000000001,1.0E-4,158.28322026778073
0.005205263157894736,0.75,0.0012000000000000001,2.0E-4,9.892701266736227
0.005205263157894736,0.75,0.0012000000000000001,3.0000000000000003E-4,1.9541138304664138
0.005205263157894736,0.75,0.0012000000000000001,4.0E-4,0.6182938291710184
0.005205263157894736,0.75,0.0012000000000000001,5.0E-4,0.2532531524284503
0.005205263157894736,0.75,0.0013,1.0E-4,148.57208413290613
0.005205263157894736,0.75,0.0013,2.0E-4,9.285755258307194
0.005205263157894736,0.75,0.0013,3.0000000000000003E-4,1.8342232609001643
0.005205263157894736,0.75,0.0013,4.0E-4,0.5803597036441996
0.005205263157894736,0.75,0.0013,5.0E-4,0.23771533461266106
0.005205263157894736,0.75,0.0014000000000000002,1.0E-4,139.07849391446305
0.005205263157894736,0.75,0.0014000000000000002,2.0E-4,8.69240586965406
0.005205263157894736,0.75,0.0014000000000000002,3.0000000000000003E-4,1.7170184433884341
0.005205263157894736,0.75,0.0014000000000000002,4.0E-4,0.5432753668533634
0.005205263157894736,0.75,0.0014000000000000002,5.0E-4,0.2225255902631382
0.005205263157894736,0.75,0.0015,1.0E-4,129.98825720240092
0.005205263157894736,0.75,0.0015,2.0E-4,8.124266075149754
0.005205263157894736,0.75,0.0015,3.0000000000000003E-4,1.604793298795012
0.005205263157894736,0.75,0.0015,4.0E-4,0.5077666296968596
0.005205263157894736,0.75,0.0015,5.0E-4,0.20798121152383386
0.005205263157894736,1,5.0E-4,1.0E-4,417.2778640193203
0.005205263157894736,1,5.0E-4,2.0E-4,26.079866501207285
0.005205263157894736,1,5.0E-4,3.0000000000000003E-4,5.151578568139867
0.005205263157894736,1,5.0E-4,4.0E-4,1.6299916563256018
0.005205263157894736,1,5.0E-4,5.0E-4,0.6676445824308478
0.005205263157894736,1,6.000000000000001E-4,1.0E-4,396.8274495532894
0.005205263157894736,1,6.000000000000001E-4,2.0E-4,24.801715597081294
0.005205263157894736,1,6.000000000000001E-4,3.0000000000000003E-4,4.899104315473135
0.005205263157894736,1,6.000000000000001E-4,4.0E-4,1.5501072248176684
0.005205263157894736,1,6.000000000000001E-4,5.0E-4,0.6349239192853191
0.005205263157894736,1,7.0E-4,1.0E-4,376.91358851485353
0.005205263157894736,1,7.0E-4,2.0E-4,23.557099282178683
0.005205263157894736,1,7.0E-4,3.0000000000000003E-4,4.653254179195807
0.005205263157894736,1,7.0E-4,4.0E-4,1.4723187051361717
0.005205263157894736,1,7.0E-4,5.0E-4,0.6030617416237787
0.005205263157894736,1,8.0E-4,1.0E-4,357.0096564268134
0.005205263157894736,1,8.0E-4,2.0E-4,22.31310352667565
0.005205263157894736,1,8.0E-4,3.0000000000000003E-4,4.407526622553135
0.005205263157894736,1,8.0E-4,4.0E-4,1.3945689704172286
0.005205263157894736,1,8.0E-4,5.0E-4,0.5712154502828968
0.005205263157894736,1,9.0E-4,1.0E-4,337.6071117884883
0.005205263157894736,1,9.0E-4,2.0E-4,21.1004444867804
0.005205263157894736,1,9.0E-4,3.0000000000000003E-4,4.167989034425869
0.005205263157894736,1,9.0E-4,4.0E-4,1.318777780423785
0.005205263157894736,1,9.0E-4,5.0E-4,0.5401713788615867
0.005205263157894736,1,0.001,1.0E-4,318.59837359708825
0.005205263157894736,1,0.001,2.0E-4,19.912398349818016
0.005205263157894736,1,0.001,3.0000000000000003E-4,3.933313254285043
0.005205263157894736,1,0.001,4.0E-4,1.2445248968636395
0.005205263157894736,1,0.001,5.0E-4,0.5097573977553418
0.005205263157894736,1,0.0011,1.0E-4,299.6232970004595
0.005205263157894736,1,0.0011,2.0E-4,18.726456062528797
0.005205263157894736,1,0.0011,3.0000000000000003E-4,3.6990530493883393
0.005205263157894736,1,0.0011,4.0E-4,1.170403503908045
0.005205263157894736,1,0.0011,5.0E-4,0.47939727520073444
0.005205263157894736,1,0.0012000000000000001,1.0E-4,281.3923915871739
0.005205263157894736,1,0.0012000000000000001,2.0E-4,17.58702447419785
0.005205263157894736,1,0.0012000000000000001,3.0000000000000003E-4,3.473980143051506
0.005205263157894736,1,0.0012000000000000001,4.0E-4,1.0991890296373656
0.005205263157894736,1,0.0012000000000000001,5.0E-4,0.4502278265394792
0.005205263157894736,1,0.0013,1.0E-4,264.1281495696338
0.005205263157894736,1,0.0013,2.0E-4,16.508009348100924
0.005205263157894736,1,0.0013,3.0000000000000003E-4,3.260841352711399
0.005205263157894736,1,0.0013,4.0E-4,1.031750584256343
0.005205263157894736,1,0.0013,5.0E-4,0.42260503931139803
0.005205263157894736,1,0.0014000000000000002,1.0E-4,247.25065584793467
0.005205263157894736,1,0.0014000000000000002,2.0E-4,15.453165990495917
0.005205263157894736,1,0.0014000000000000002,3.0000000000000003E-4,3.0524772326905527
0.005205263157894736,1,0.0014000000000000002,4.0E-4,0.9658228744059804
0.005205263157894736,1,0.0014000000000000002,5.0E-4,0.39560104935668994
0.005205263157894736,1,0.0015,1.0E-4,231.09023502649086
0.005205263157894736,1,0.0015,2.0E-4,14.443139689154822
0.005205263157894736,1,0.0015,3.0000000000000003E-4,2.8529658645245735
0.005205263157894736,1,0.0015,4.0E-4,0.9026962305721945
0.005205263157894736,1,0.0015,5.0E-4,0.36974437604236415
0.005205263157894736,1.25,5.0E-4,1.0E-4,651.9966625302532
0.005205263157894736,1.25,5.0E-4,2.0E-4,40.7497914081394
0.005205263157894736,1.25,5.0E-4,3.0000000000000003E-4,8.04934151271853
0.005205263157894736,1.25,5.0E-4,4.0E-4,2.54686196300884
0.005205263157894736,1.25,5.0E-4,5.0E-4,1.0431946600484008
0.005205263157894736,1.25,6.000000000000001E-4,1.0E-4,620.0428899270074
0.005205263157894736,1.25,6.000000000000001E-4,2.0E-4,38.75268062044172
0.005205263157894736,1.25,6.000000000000001E-4,3.0000000000000003E-4,7.654850492926778
0.005205263157894736,1.25,6.000000000000001E-4,4.0E-4,2.422042538777409
0.005205263157894736,1.25,6.000000000000001E-4,5.0E-4,0.9920686238832946
0.005205263157894736,1.25,7.0E-4,1.0E-4,588.9274820545023
0.005205263157894736,1.25,7.0E-4,2.0E-4,36.80796762840461
0.005205263157894736,1.25,7.0E-4,3.0000000000000003E-4,7.270709654993965
0.005205263157894736,1.25,7.0E-4,4.0E-4,2.300497976775399
0.005205263157894736,1.25,7.0E-4,5.0E-4,0.9422839712871549
0.005205263157894736,1.25,8.0E-4,1.0E-4,557.8275881668752
0.005205263157894736,1.25,8.0E-4,2.0E-4,34.864224260429985
0.005205263157894736,1.25,8.0E-4,3.0000000000000003E-4,6.886760347739396
0.005205263157894736,1.25,8.0E-4,4.0E-4,2.1790140162769243
0.005205263157894736,1.25,8.0E-4,5.0E-4,0.8925241410670061
0.005205263157894736,1.25,9.0E-4,1.0E-4,527.5111121695252
0.005205263157894736,1.25,9.0E-4,2.0E-4,32.96944451059475
0.005205263157894736,1.25,9.0E-4,3.0000000000000003E-4,6.512482866290377
0.005205263157894736,1.25,9.0E-4,4.0E-4,2.0605902819121913
0.005205263157894736,1.25,9.0E-4,5.0E-4,0.8440177794712342
0.005205263157894736,1.25,0.001,1.0E-4,497.80995874545107
0.005205263157894736,1.25,0.001,2.0E-4,31.1131224215907
0.005205263157894736,1.25,0.001,3.0000000000000003E-4,6.145801959820461
0.005205263157894736,1.25,0.001,4.0E-4,1.9445701513494384
0.005205263157894736,1.25,0.001,5.0E-4,0.7964959339927312
0.005205263157894736,1.25,0.0011,1.0E-4,468.16140156320785
0.005205263157894736,1.25,0.0011,2.0E-4,29.260087597700704
0.005205263157894736,1.25,0.0011,3.0000000000000003E-4,5.779770389669526
0.005205263157894736,1.25,0.0011,4.0E-4,1.8287554748563184
0.005205263157894736,1.25,0.0011,5.0E-4,0.7490582425011713
0.005205263157894736,1.25,0.0012000000000000001,1.0E-4,439.67561185496015
0.005205263157894736,1.25,0.0012000000000000001,2.0E-4,27.479725740934185
0.005205263157894736,1.25,0.0012000000000000001,3.0000000000000003E-4,5.4280939735179805
0.005205263157894736,1.25,0.0012000000000000001,4.0E-4,1.7174828588083741
0.005205263157894736,1.25,0.0012000000000000001,5.0E-4,0.7034809789679136
0.005205263157894736,1.25,0.0013,1.0E-4,412.7002337025163
0.005205263157894736,1.25,0.0013,2.0E-4,25.79376460640856
0.005205263157894736,1.25,0.0013,3.0000000000000003E-4,5.095064613611317
0.005205263157894736,1.25,0.0013,4.0E-4,1.612110287900535
0.005205263157894736,1.25,0.0013,5.0E-4,0.6603203739240917
0.005205263157894736,1.25,0.0014000000000000002,1.0E-4,386.32914976239783
0.005205263157894736,1.25,0.0014000000000000002,2.0E-4,24.145571860149854
0.005205263157894736,1.25,0.0014000000000000002,3.0000000000000003E-4,4.76949567607862
0.005205263157894736,1.25,0.0014000000000000002,4.0E-4,1.5090982412593854
0.005205263157894736,1.25,0.0014000000000000002,5.0E-4,0.618126639619844
0.005205263157894736,1.25,0.0015,1.0E-4,361.07849222889143
0.005205263157894736,1.25,0.0015,2.0E-4,22.567405764305335
0.005205263157894736,1.25,0.0015,3.0000000000000003E-4,4.45775916331965
0.005205263157894736,1.25,0.0015,4.0E-4,1.4104628602691072
0.005205263157894736,1.25,0.0015,5.0E-4,0.5777255875662177
0.005205263157894736,1.5,5.0E-4,1.0E-4,938.8751940434823
0.005205263157894736,1.5,5.0E-4,2.0E-4,58.67969962772256
0.005205263157894736,1.5,5.0E-4,3.0000000000000003E-4,11.591051778315098
0.005205263157894736,1.5,5.0E-4,4.0E-4,3.667481226732589
0.005205263157894736,1.5,5.0E-4,5.0E-4,1.5022003104696455
0.005205263157894736,1.5,6.000000000000001E-4,1.0E-4,892.8617614948915
0.005205263157894736,1.5,6.000000000000001E-4,2.0E-4,55.803860093436114
0.005205263157894736,1.5,6.000000000000001E-4,3.0000000000000003E-4,11.02298470981346
0.005205263157894736,1.5,6.000000000000001E-4,4.0E-4,3.487741255839421
0.005205263157894736,1.5,6.000000000000001E-4,5.0E-4,1.4285788183919421
0.005205263157894736,1.5,7.0E-4,1.0E-4,848.055574158435
0.005205263157894736,1.5,7.0E-4,2.0E-4,53.00347338490111
0.005205263157894736,1.5,7.0E-4,3.0000000000000003E-4,10.469821903190379
0.005205263157894736,1.5,7.0E-4,4.0E-4,3.3127170865565807
0.005205263157894736,1.5,7.0E-4,5.0E-4,1.3568889186534985
0.005205263157894736,1.5,8.0E-4,1.0E-4,803.2717269603038
0.005205263157894736,1.5,8.0E-4,2.0E-4,50.20448293501899
0.005205263157894736,1.5,8.0E-4,3.0000000000000003E-4,9.916934900744835
0.005205263157894736,1.5,8.0E-4,4.0E-4,3.1377801834387986
0.005205263157894736,1.5,8.0E-4,5.0E-4,1.285234763136476
0.005205263157894736,1.5,9.0E-4,1.0E-4,759.6160015241162
0.005205263157894736,1.5,9.0E-4,2.0E-4,47.476000095256445
0.005205263157894736,1.5,9.0E-4,3.0000000000000003E-4,9.37797532745824
0.005205263157894736,1.5,9.0E-4,4.0E-4,2.9672500059537747
0.005205263157894736,1.5,9.0E-4,5.0E-4,1.2153856024385634
0.005205263157894736,1.5,0.001,1.0E-4,716.8463405934558
0.005205263157894736,1.5,0.001,2.0E-4,44.80289628709113
0.005205263157894736,1.5,0.001,3.0000000000000003E-4,8.849954822141456
0.005205263157894736,1.5,0.001,4.0E-4,2.800181017943152
0.005205263157894736,1.5,0.001,5.0E-4,1.1469541449495329
0.005205263157894736,1.5,0.0011,1.0E-4,674.1524182510248
0.005205263157894736,1.5,0.0011,2.0E-4,42.134526140690774
0.005205263157894736,1.5,0.0011,3.0000000000000003E-4,8.322869361124125
0.005205263157894736,1.5,0.0011,4.0E-4,2.6334078837930934
0.005205263157894736,1.5,0.0011,5.0E-4,1.0786438692016582
0.005205263157894736,1.5,0.0012000000000000001,1.0E-4,633.1328810711185
0.005205263157894736,1.5,0.0012000000000000001,2.0E-4,39.57080506694491
0.005205263157894736,1.5,0.0012000000000000001,3.0000000000000003E-4,7.816455321865892
0.005205263157894736,1.5,0.0012000000000000001,4.0E-4,2.473175316684146
0.005205263157894736,1.5,0.0012000000000000001,5.0E-4,1.0130126097138215
0.005205263157894736,1.5,0.0013,1.0E-4,594.2883365316526
0.005205263157894736,1.5,0.0013,2.0E-4,37.14302103322829
0.005205263157894736,1.5,0.0013,3.0000000000000003E-4,7.336893043600657
0.005205263157894736,1.5,0.0013,4.0E-4,2.3214388145766582
0.005205263157894736,1.5,0.0013,5.0E-4,0.9508613384505977
0.005205263157894736,1.5,0.0014000000000000002,1.0E-4,556.3139756578598
0.005205263157894736,1.5,0.0014000000000000002,2.0E-4,34.76962347861576
0.005205263157894736,1.5,0.0014000000000000002,3.0000000000000003E-4,6.8680737735537365
0.005205263157894736,1.5,0.0014000000000000002,4.0E-4,2.1731014674135154
0.005205263157894736,1.5,0.0014000000000000002,5.0E-4,0.8901023610525516
0.005205263157894736,1.5,0.0015,1.0E-4,519.9530288095955
0.005205263157894736,1.5,0.0015,2.0E-4,32.497064300599014
0.005205263157894736,1.5,0.0015,3.0000000000000003E-4,6.419173195180048
0.005205263157894736,1.5,0.0015,4.0E-4,2.0310665187874846
0.005205263157894736,1.5,0.0015,5.0E-4,0.8319248460953522
0.006226315789473684,0.25,5.0E-4,1.0E-4,24.200375695266494
0.006226315789473684,0.25,5.0E-4,2.0E-4,1.5125234809541444
0.006226315789473684,0.25,5.0E-4,3.0000000000000003E-4,0.29877007031193586
0.006226315789473684,0.25,5.0E-4,4.0E-4,0.09453271755963293
0.006226315789473684,0.25,5.0E-4,5.0E-4,0.03872060111242653
0.006226315789473684,0.25,6.000000000000001E-4,1.0E-4,23.019241611744416
0.006226315789473684,0.25,6.000000000000001E-4,2.0E-4,1.4387026007340769
0.006226315789473684,0.25,6.000000000000001E-4,3.0000000000000003E-4,0.284188168046227
0.006226315789473684,0.25,6.000000000000001E-4,4.0E-4,0.08991891254587718
0.006226315789473684,0.25,6.000000000000001E-4,5.0E-4,0.03683078657879232
0.006226315789473684,0.25,7.0E-4,1.0E-4,21.878493466758563
0.006226315789473684,0.25,7.0E-4,2.0E-4,1.3674058416725863
0.006226315789473684,0.25,7.0E-4,3.0000000000000003E-4,0.27010485761431136
0.006226315789473684,0.25,7.0E-4,4.0E-4,0.08546286510453174
0.006226315789473684,0.25,7.0E-4,5.0E-4,0.03500558954681823
0.006226315789473684,0.25,8.0E-4,1.0E-4,20.753424338666903
0.006226315789473684,0.25,8.0E-4,2.0E-4,1.2970890211666652
0.006226315789473684,0.25,8.0E-4,3.0000000000000003E-4,0.2562151152921837
0.006226315789473684,0.25,8.0E-4,4.0E-4,0.08106806382291659
0.006226315789473684,0.25,8.0E-4,5.0E-4,0.03320547894186705
0.006226315789473684,0.25,9.0E-4,1.0E-4,19.658939032068375
0.006226315789473684,0.25,9.0E-4,2.0E-4,1.2286836895042639
0.006226315789473684,0.25,9.0E-4,3.0000000000000003E-4,0.24270295101318326
0.006226315789473684,0.25,9.0E-4,4.0E-4,0.07679273059402027
0.006226315789473684,0.25,9.0E-4,5.0E-4,0.03145430245130934
0.006226315789473684,0.25,0.001,1.0E-4,18.566003202202335
0.006226315789473684,0.25,0.001,2.0E-4,1.160375200137643
0.006226315789473684,0.25,0.001,3.0000000000000003E-4,0.22920991607656765
0.006226315789473684,0.25,0.001,4.0E-4,0.07252345000860289
0.006226315789473684,0.25,0.001,5.0E-4,0.02970560512352368
0.006226315789473684,0.25,0.0011,1.0E-4,17.458444256743878
0.006226315789473684,0.25,0.0011,2.0E-4,1.0911527660464968
0.006226315789473684,0.25,0.0011,3.0000000000000003E-4,0.21553634884869285
0.006226315789473684,0.25,0.0011,4.0E-4,0.06819704787790633
0.006226315789473684,0.25,0.0011,5.0E-4,0.02793351081079042
0.006226315789473684,0.25,0.0012000000000000001,1.0E-4,16.38348015345362
0.006226315789473684,0.25,0.0012000000000000001,2.0E-4,1.023967509590814
0.006226315789473684,0.25,0.0012000000000000001,3.0000000000000003E-4,0.20226518707966828
0.006226315789473684,0.25,0.0012000000000000001,4.0E-4,0.06399796934942621
0.006226315789473684,0.25,0.0012000000000000001,5.0E-4,0.026213568245524878
0.006226315789473684,0.25,0.0013,1.0E-4,15.386373204082334
0.006226315789473684,0.25,0.0013,2.0E-4,0.9616483252551471
0.006226315789473684,0.25,0.0013,3.0000000000000003E-4,0.18995522474175588
0.006226315789473684,0.25,0.0013,4.0E-4,0.06010302032844614
0.006226315789473684,0.25,0.0013,5.0E-4,0.024618197126531703
0.006226315789473684,0.25,0.0014000000000000002,1.0E-4,14.425282412939968
0.006226315789473684,0.25,0.0014000000000000002,2.0E-4,0.9015801508087633
0.006226315789473684,0.25,0.0014000000000000002,3.0000000000000003E-4,0.17808990633259564
0.006226315789473684,0.25,0.0014000000000000002,4.0E-4,0.05634875942554626
0.006226315789473684,0.25,0.0014000000000000002,5.0E-4,0.023080451860704513
0.006226315789473684,0.25,0.0015,1.0E-4,13.502671862864876
0.006226315789473684,0.25,0.0015,2.0E-4,0.8439169914290547
0.006226315789473684,0.25,0.0015,3.0000000000000003E-4,0.1666996526279582
0.006226315789473684,0.25,0.0015,4.0E-4,0.05274481196431482
0.006226315789473684,0.25,0.0015,5.0E-4,0.021604274980583236
0.006226315789473684,0.5,5.0E-4,1.0E-4,96.80150278105992
0.006226315789473684,0.5,5.0E-4,2.0E-4,6.050093923816443
0.006226315789473684,0.5,5.0E-4,3.0000000000000003E-4,1.1950802812477548
0.006226315789473684,0.5,5.0E-4,4.0E-4,0.3781308702385227
