% Model,Untitled.mph
% Version,COMSOL 5.6.0.401
% Date,"Jan 28 2022, 23:51"
% Table,Table 2 - Surface Integration 1
% shift (m),I_0 (A),d_cover (m),r_0 (m),-mf.Jphi*mf.Br (N)
1.0E-4,0.5,0.0011,3.0000000000000003E-4,0.024109568668274246
1.0E-4,0.5,0.0011,4.0E-4,0.007628418211465754
1.0E-4,0.5,0.0011,5.0E-4,0.0031246000994162937
1.0E-4,0.5,0.0012000000000000001,1.0E-4,0.23297773968999252
1.0E-4,0.5,0.0012000000000000001,2.0E-4,0.014561108730474842
1.0E-4,0.5,0.0012000000000000001,3.0000000000000003E-4,0.0028762683911078006
1.0E-4,0.5,0.0012000000000000001,4.0E-4,9.100692956337833E-4
1.0E-4,0.5,0.0012000000000000001,5.0E-4,3.7276438350487926E-4
1.0E-4,0.5,0.0013,1.0E-4,0.8145052227012254
1.0E-4,0.5,0.0013,2.0E-4,0.05090657641868503
1.0E-4,0.5,0.0013,3.0000000000000003E-4,0.010055620033320804
1.0E-4,0.5,0.0013,4.0E-4,0.0031816610261766617
1.0E-4,0.5,0.0013,5.0E-4,0.0013032083563220252
1.0E-4,0.5,0.0014000000000000002,1.0E-4,1.4998618159259645
1.0E-4,0.5,0.0014000000000000002,2.0E-4,0.09374136349734649
1.0E-4,0.5,0.0014000000000000002,3.0000000000000003E-4,0.01851681254212043
1.0E-4,0.5,0.0014000000000000002,4.0E-4,0.005858835218406342
1.0E-4,0.5,0.0014000000000000002,5.0E-4,0.002399778905481766
1.0E-4,0.5,0.0015,1.0E-4,1.3431110417927896
1.0E-4,0.5,0.0015,2.0E-4,0.08394444011194731
1.0E-4,0.5,0.0015,3.0000000000000003E-4,0.016581617799903362
1.0E-4,0.5,0.0015,4.0E-4,0.0052465275070030844
1.0E-4,0.5,0.0015,5.0E-4,0.0021489776668684422
1.0E-4,0.75,5.0E-4,1.0E-4,17.233914015046967
1.0E-4,0.75,5.0E-4,2.0E-4,1.0771196259404354
1.0E-4,0.75,5.0E-4,3.0000000000000003E-4,0.21276437055612238
1.0E-4,0.75,5.0E-4,4.0E-4,0.06731997662127721
1.0E-4,0.75,5.0E-4,5.0E-4,0.027574262424103126
1.0E-4,0.75,6.000000000000001E-4,1.0E-4,12.410474571906876
1.0E-4,0.75,6.000000000000001E-4,2.0E-4,0.7756546607443284
1.0E-4,0.75,6.000000000000001E-4,3.0000000000000003E-4,0.15321573545564257
1.0E-4,0.75,6.000000000000001E-4,4.0E-4,0.048478416296511236
1.0E-4,0.75,6.000000000000001E-4,5.0E-4,0.019856759315055414
1.0E-4,0.75,7.0E-4,1.0E-4,11.634852670197821
1.0E-4,0.75,7.0E-4,2.0E-4,0.7271782918877644
1.0E-4,0.75,7.0E-4,3.0000000000000003E-4,0.14364015642220546
1.0E-4,0.75,7.0E-4,4.0E-4,0.045448643242886125
1.0E-4,0.75,7.0E-4,5.0E-4,0.018615764272277027
1.0E-4,0.75,8.0E-4,1.0E-4,17.470083703410992
1.0E-4,0.75,8.0E-4,2.0E-4,1.091880231464726
1.0E-4,0.75,8.0E-4,3.0000000000000003E-4,0.2156800457214382
1.0E-4,0.75,8.0E-4,4.0E-4,0.0682425144664912
1.0E-4,0.75,8.0E-4,5.0E-4,0.02795213392552118
1.0E-4,0.75,9.0E-4,1.0E-4,17.75498329556446
1.0E-4,0.75,9.0E-4,2.0E-4,1.1096864559730633
1.0E-4,0.75,9.0E-4,3.0000000000000003E-4,0.2191973246365715
1.0E-4,0.75,9.0E-4,4.0E-4,0.06935540349829168
1.0E-4,0.75,9.0E-4,5.0E-4,0.028407973272910184
1.0E-4,0.75,0.001,1.0E-4,12.54236061040098
